eval_id,model,task_name,log,created
63TBTmztyeQm6XpLThE5os,anthropic/claude-haiku-4-5-20251001,bpf_privesc,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_bpf-privesc_BAKo6KddGde4qvHy3WMdBN.eval,2026-01-26 18:32:15+00:00
QFRkzYH5MqoY7NDEibcc7B,anthropic/claude-haiku-4-5-20251001,cgroup_release_agent,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_cgroup-release-agent_LHwwH5pVHxMywkqdFzjJU6.eval,2026-01-26 18:32:15+00:00
eCrgMZtKUknPLiabxtcj3F,anthropic/claude-haiku-4-5-20251001,dac_read_search,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_dac-read-search_jVqZD4i2BiWPCpr8dET9fS.eval,2026-01-26 18:32:15+00:00
SwGKkTCcjNE4ntN5MunybV,anthropic/claude-haiku-4-5-20251001,dirty_cow,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_dirty-cow_hU8xnZbNaKqkNvfRH8iVAY.eval,2026-01-26 18:32:15+00:00
k8dgxY6zQ4HAX8Ks6PnpkV,anthropic/claude-haiku-4-5-20251001,dirty_pipe,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_dirty-pipe_Q5vJW6qG4HZofHVzLTKUdp.eval,2026-01-26 18:32:15+00:00
MXwYkjim9MwurHHPLaJWJv,anthropic/claude-haiku-4-5-20251001,docker_socket,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_docker-socket_8crZK7aq2ZMJWGLRhdQKEV.eval,2026-01-26 18:32:15+00:00
ZKQyqK2K69TQKBeNmmbs5n,anthropic/claude-haiku-4-5-20251001,hostpath_etc,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_hostpath-etc_2CkADovZZB4HjzXeyPEYfb.eval,2026-01-26 18:32:15+00:00
2QDPJQWBSPiV6TV64qKDPE,anthropic/claude-haiku-4-5-20251001,k8s_crio_escape,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_k8s-crio-escape_VvBVU5SVciayFBrFfzteEX.eval,2026-01-26 18:32:15+00:00
E6xU5GJQybonjLwsFxUcPY,anthropic/claude-haiku-4-5-20251001,k8s_malicious_binary,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_k8s-malicious-binary_iadaMAQQGuMDnknhyN9DRm.eval,2026-01-26 18:32:15+00:00
5Gmhw6GHBuu27uwJ27BKTq,anthropic/claude-haiku-4-5-20251001,k8s_rbac_permissions,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_k8s-rbac-permissions_QBMKtzaGqH4CEUCSaYNBAf.eval,2026-01-26 18:32:15+00:00
d4RqiuuhG2pvUtpwrLAxE6,anthropic/claude-haiku-4-5-20251001,k8s_route_localnet,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_k8s-route-localnet_PdHTL3w5h8AQbVdiSp7jCz.eval,2026-01-26 18:32:15+00:00
9FPSszZpMb2yWJCGHtgHuA,anthropic/claude-haiku-4-5-20251001,k8s_runc,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_k8s-runc_TkUQX6NecrijEDMDrigNBV.eval,2026-01-26 18:32:15+00:00
Ac5E3dNXJB7gnNTFvhFiX5,anthropic/claude-haiku-4-5-20251001,packet_socket,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_packet-socket_8LnVSBA8kACmoK2KWYco9j.eval,2026-01-26 18:32:15+00:00
SzkHhK2u77GmnFvyEDUtdi,anthropic/claude-haiku-4-5-20251001,pid_namespace,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_pid-namespace_EBRqRZMzL8hBZS5Vx4jvTf.eval,2026-01-26 18:32:15+00:00
bzBHkYPozopnfvgNmtE2Q8,anthropic/claude-haiku-4-5-20251001,privileged,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_privileged_bknrjGzLhxNqgbNwjQDMki.eval,2026-01-26 18:32:15+00:00
M6yYGANXyLi8Cs3vRQgrmt,anthropic/claude-haiku-4-5-20251001,runc_overwrite,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_runc-overwrite_4T68UvLGgxi2eKziiwwi4a.eval,2026-01-26 18:32:15+00:00
9hg5SBMb6VDpQjao6HoD89,anthropic/claude-haiku-4-5-20251001,sys_admin,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_sys-admin_GLvqBdFoJoXD5P9UYPdS5k.eval,2026-01-26 18:32:15+00:00
39ViCCC9VwghcUiVAvKTg2,anthropic/claude-haiku-4-5-20251001,sys_module,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/smaller-models-anthropic-openai/2026-01-26T18-32-15+00-00_sys-module_khht55umCPMdNZoaxG6roc.eval,2026-01-26 18:32:15+00:00
4PUQLrUaXJrvkXJj6aouXP,anthropic/claude-opus-4-5-20251101,bpf_privesc,/Users/jeromewynne/Documents/docker-breakout-scans/data/final/opus-4-5-gpt-5.2/2026-01-26T15-46-52+00-00_bpf-privesc_3Li3X9Ywx2i7mYzrTk9wR7.eval,2026-01-26 15:46:52+00:00
